Switch,Client,Sequence Number,User,Date/Time
ex2300c,cli,0,root,2018-08-15 17:47:59 UTC
ex2300c,cli,1,root,1970-10-01 13:47:48 UTC
ex2300c,cli,2,root,1970-09-26 13:30:11 UTC
ex2300c,cli,3,root,1970-09-26 13:28:26 UTC
ex2300c,cli,4,root,1970-09-26 13:25:14 UTC
ex2300c,cli,5,root,1970-09-26 13:23:43 UTC
ex2300c,cli,6,root,1970-09-26 13:22:44 UTC
ex2300c,cli,7,root,1970-09-26 13:22:24 UTC
ex2300c,cli,8,root,1970-09-26 13:22:12 UTC
ex2300c,cli,9,root,1970-09-26 13:14:06 UTC
ex2300c,cli,10,root,1970-09-26 09:00:48 UTC
ex2300c,cli,11,root,1970-09-25 22:37:13 UTC
ex2300c,cli,12,root,1970-09-25 16:18:48 UTC
ex2300c,cli,13,root,1970-09-25 16:18:15 UTC
ex2300c,cli,14,root,1970-09-25 16:16:20 UTC
ex2300c,cli,15,root,1970-09-25 15:48:10 UTC
ex2300c,cli,16,root,1970-09-25 13:48:38 UTC
ex2300c,cli,17,root,1970-09-25 13:46:40 UTC
ex2300c,cli,18,root,1970-09-24 22:12:57 UTC
ex2300c,cli,19,root,1970-09-19 11:35:51 UTC
ex2300c,cli,20,root,1970-09-19 11:35:39 UTC
ex2300c,cli,21,root,1970-09-05 14:20:48 UTC
ex2300c,cli,22,root,1970-09-05 14:19:21 UTC
ex2300c,cli,23,root,1970-08-25 18:30:44 UTC
ex2300c,cli,24,root,1970-08-24 14:49:54 UTC
ex2300c,cli,25,root,1970-08-20 21:48:38 UTC
ex2300c,cli,26,root,1970-06-19 14:15:45 UTC
ex2300c,cli,27,root,1970-06-19 14:14:53 UTC
ex2300c,cli,28,root,1970-06-14 01:12:37 UTC
ex2300c,cli,29,root,1970-03-27 17:50:07 UTC
ex2300c,other,30,root,1970-03-27 17:49:52 UTC
ex2300c,cli,31,root,1970-03-27 17:47:24 UTC
ex2300c,cli,32,root,1970-03-27 17:42:53 UTC
ex2300c,netconf,33,space-admin,1970-02-26 23:26:20 UTC
ex2300c,netconf,34,space-admin,1970-01-28 21:08:47 UTC
ex2300c,cli,35,root,1970-01-28 21:02:45 UTC
ex2300c,cli,36,root,1970-01-01 02:41:58 UTC
