Switch,AE Interface,Receive Status,Interface Name,Transmit Status,Mux State
vQFX00,ae0,Defaulted,xe-0/0/5,Fast periodic,Detached
vQFX00,ae0,Defaulted,xe-0/0/6,Fast periodic,Detached
vQFX01,ae0,Defaulted,xe-0/0/5,Fast periodic,Detached
vQFX01,ae0,Defaulted,xe-0/0/6,Fast periodic,Detached
vQFX02,ae0,Defaulted,xe-0/0/5,Fast periodic,Detached
vQFX02,ae0,Defaulted,xe-0/0/6,Fast periodic,Detached
vQFX03,ae0,Defaulted,xe-0/0/5,Fast periodic,Detached
vQFX03,ae0,Defaulted,xe-0/0/6,Fast periodic,Detached
vQFX04,ae0,Defaulted,xe-0/0/5,Fast periodic,Detached
vQFX04,ae0,Defaulted,xe-0/0/6,Fast periodic,Detached
