Switch,Vlan Name,Multicast Interface,Multicast Group Address,Multicast Listener Address
ex2300c,vlan35,ge-0/0/5.0,,
ex2300c,vlan35,ge-0/0/6.0,,
ex2300c,vlan35,ge-0/0/7.0,224.0.0.251,172.30.35.19
ex2300c,vlan35,ge-0/0/0.0,,
ex2300c,vlan35,ge-0/0/8.0,239.255.255.250,172.30.35.250
ex2300c,vlan36,ge-0/0/3.0,,
ex2300c,vlan36,ge-0/0/4.0,,
ex2300c,vlan36,ge-0/0/5.0,,
ex2300c,vlan36,ge-0/0/6.0,,
ex2300c,vlan36,ge-0/0/1.0,,
ex2300c,vlan36,ge-0/0/9.0,,
ex2300c,vlan37,ge-0/0/5.0,,
ex2300c,vlan37,ge-0/0/6.0,,
ex2300c,vlan37,ge-0/0/2.0,,
vQFX00,Vlan100,xe-0/0/3.100,,
vQFX00,Center_NET_SBTS869,No Multicast interfaces on this vlan,,
vQFX00,Center_SDDS31,No Multicast interfaces on this vlan,,
vQFX00,Center_SDDS32,No Multicast interfaces on this vlan,,
vQFX00,GIGEXD_default,No Multicast interfaces on this vlan,,
vQFX00,Left_NET_SBTS829,No Multicast interfaces on this vlan,,
vQFX00,Left_SDDS39,No Multicast interfaces on this vlan,,
vQFX00,Left_SDDS40,No Multicast interfaces on this vlan,,
vQFX00,PRIV_PLAYBACK1_192.168.10.0-24,No Multicast interfaces on this vlan,,
vQFX00,PRIV_PLAYBACK2_192.168.10.0-24,No Multicast interfaces on this vlan,,
vQFX00,Priv_ESX_Vmotion,No Multicast interfaces on this vlan,,
vQFX00,RightEK01,No Multicast interfaces on this vlan,,
vQFX00,RightEK02,No Multicast interfaces on this vlan,,
vQFX00,RightEK03,No Multicast interfaces on this vlan,,
vQFX00,RightEK04,No Multicast interfaces on this vlan,,
vQFX00,RightEK05,No Multicast interfaces on this vlan,,
vQFX00,Right_SDDS_200,No Multicast interfaces on this vlan,,
vQFX00,Right_SDDS_201,No Multicast interfaces on this vlan,,
vQFX00,Right_SDDS_202,No Multicast interfaces on this vlan,,
vQFX00,Right_SDDS_203,No Multicast interfaces on this vlan,,
vQFX00,SYS5_BOT_OUT,No Multicast interfaces on this vlan,,
vQFX00,SYS5_HCC_OPS_Multi,No Multicast interfaces on this vlan,,
vQFX00,SYS5_HCC_TEST_Multi,No Multicast interfaces on this vlan,,
vQFX00,SYS5_H_10GBRIKA,No Multicast interfaces on this vlan,,
vQFX00,SYS5_H_10GBRIKB,No Multicast interfaces on this vlan,,
vQFX00,SYS5_H_10GBRIKC,No Multicast interfaces on this vlan,,
vQFX00,SYS5_H_1GBRIK,No Multicast interfaces on this vlan,,
vQFX00,SYS5_H_DEV_172.16.139.0-24,No Multicast interfaces on this vlan,,
vQFX00,SYS5_H_ESXMGT_172.16.130.0-25,No Multicast interfaces on this vlan,,
vQFX00,SYS5_H_OPS_172.16.124.0-22,No Multicast interfaces on this vlan,,
vQFX00,SYS5_H_RTNET_OPS_RH_CLU,No Multicast interfaces on this vlan,,
vQFX00,SYS5_H_RTNET_TST_RH_CLU,No Multicast interfaces on this vlan,,
vQFX00,SYS5_H_TEST_172.16.128.0-23,No Multicast interfaces on this vlan,,
vQFX00,UpperRightSWITCH-751,No Multicast interfaces on this vlan,,
vQFX00,UpperRightSWITCH-752,No Multicast interfaces on this vlan,,
vQFX00,rumel_default_192_9_200,No Multicast interfaces on this vlan,,
vQFX00,vlan-999,No Multicast interfaces on this vlan,,
vQFX01,Vlan100,xe-0/0/3.100,,
vQFX01,Center_NET_SBTS869,No Multicast interfaces on this vlan,,
vQFX01,Center_SDDS31,No Multicast interfaces on this vlan,,
vQFX01,Center_SDDS32,No Multicast interfaces on this vlan,,
vQFX01,GIGEXD_default,No Multicast interfaces on this vlan,,
vQFX01,Left_NET_SBTS829,No Multicast interfaces on this vlan,,
vQFX01,Left_SDDS39,No Multicast interfaces on this vlan,,
vQFX01,Left_SDDS40,No Multicast interfaces on this vlan,,
vQFX01,PRIV_PLAYBACK1_192.168.10.0-24,No Multicast interfaces on this vlan,,
vQFX01,PRIV_PLAYBACK2_192.168.10.0-24,No Multicast interfaces on this vlan,,
vQFX01,Priv_ESX_Vmotion,No Multicast interfaces on this vlan,,
vQFX01,RightEK01,No Multicast interfaces on this vlan,,
vQFX01,RightEK02,No Multicast interfaces on this vlan,,
vQFX01,RightEK03,No Multicast interfaces on this vlan,,
vQFX01,RightEK04,No Multicast interfaces on this vlan,,
vQFX01,RightEK05,No Multicast interfaces on this vlan,,
vQFX01,Right_SDDS_200,No Multicast interfaces on this vlan,,
vQFX01,Right_SDDS_201,No Multicast interfaces on this vlan,,
vQFX01,Right_SDDS_202,No Multicast interfaces on this vlan,,
vQFX01,Right_SDDS_203,No Multicast interfaces on this vlan,,
vQFX01,SYS5_BOT_OUT,No Multicast interfaces on this vlan,,
vQFX01,SYS5_HCC_OPS_Multi,No Multicast interfaces on this vlan,,
vQFX01,SYS5_HCC_TEST_Multi,No Multicast interfaces on this vlan,,
vQFX01,SYS5_H_10GBRIKA,No Multicast interfaces on this vlan,,
vQFX01,SYS5_H_10GBRIKB,No Multicast interfaces on this vlan,,
vQFX01,SYS5_H_10GBRIKC,No Multicast interfaces on this vlan,,
vQFX01,SYS5_H_1GBRIK,No Multicast interfaces on this vlan,,
vQFX01,SYS5_H_DEV_172.16.139.0-24,No Multicast interfaces on this vlan,,
vQFX01,SYS5_H_ESXMGT_172.16.130.0-25,No Multicast interfaces on this vlan,,
vQFX01,SYS5_H_OPS_172.16.124.0-22,No Multicast interfaces on this vlan,,
vQFX01,SYS5_H_RTNET_OPS_RH_CLU,No Multicast interfaces on this vlan,,
vQFX01,SYS5_H_RTNET_TST_RH_CLU,No Multicast interfaces on this vlan,,
vQFX01,SYS5_H_TEST_172.16.128.0-23,No Multicast interfaces on this vlan,,
